interval_start_time,X,Y,dateTimeDayofTheWeek,year,month,day,hour,minute,people
2019-04-23 5:20:00,10.73397929,59.91301053,3,2019,4,23,5,20,35
2019-04-23 5:25:00,10.73397929,59.91301053,3,2019,4,23,5,25,39
2019-04-23 5:30:00,10.73397929,59.91301053,3,2019,4,23,5,30,42
2019-04-23 5:35:00,10.73397929,59.91301053,3,2019,4,23,5,35,38
2019-04-23 5:40:00,10.73397929,59.91301053,3,2019,4,23,5,40,38
2019-04-23 5:45:00,10.73397929,59.91301053,3,2019,4,23,5,45,45
2019-04-23 5:50:00,10.73397929,59.91301053,3,2019,4,23,5,50,47
2019-04-23 5:55:00,10.73397929,59.91301053,3,2019,4,23,5,55,49
2019-04-23 6:00:00,10.73397929,59.91301053,3,2019,4,23,6,0,50
2019-04-23 6:05:00,10.73397929,59.91301053,3,2019,4,23,6,5,61
2019-04-23 6:10:00,10.73397929,59.91301053,3,2019,4,23,6,10,62
2019-04-23 6:15:00,10.73397929,59.91301053,3,2019,4,23,6,15,74
2019-04-23 6:20:00,10.73397929,59.91301053,3,2019,4,23,6,20,87
2019-04-23 6:25:00,10.73397929,59.91301053,3,2019,4,23,6,25,100
